"Year","SITE_ID","Pot_Count","Total_Spot_Count","Total_Spot_Wt_KG","Prop_Lg_by_Wt","Prop_Lg_by_Ct","Est_Wt_Large","Est_Ct_LG","CPUE_All_KG","CPUE_All_LB","CPUE_All_Count","CPUE_Large_KG","CPUE_Large_LB","CPUE_Large_Count"
"2000","8",44.000000,733.000000,10.751000,0.452446,0.240109,4.864249,176.000000,0.244340,0.538673,16.659090,0.110551,0.243721,4.000000
"2001","1",44.000000,799.000000,22.776000,0.868334,0.753441,19.777187,602.000000,0.517636,1.141181,18.159090,0.449481,0.990926,13.681818
"2001","2",44.000000,1537.000000,39.020000,0.879589,0.804814,34.321584,1237.000000,0.886818,1.955079,34.931818,0.780036,1.719667,28.113636
"2001","3",43.000000,1031.000000,19.599000,0.565932,0.293889,11.091712,303.000000,0.455790,1.004836,23.976744,0.257946,0.568669,7.046511
"2001","4",44.000000,722.000000,11.918000,0.402615,0.243767,4.798371,176.000000,0.270863,0.597145,16.409090,0.109053,0.240420,4.000000
"2001","5",44.000000,527.000000,9.400000,0.516803,0.352941,4.857955,186.000000,0.213636,0.470982,11.977272,0.110408,0.243405,4.227272
"2001","6",44.000000,1140.000000,18.539000,0.329420,0.207017,6.107123,236.000000,0.421340,0.928888,25.909090,0.138798,0.305994,5.363636
"2001","7",44.000000,567.000000,15.026000,0.830702,0.708994,12.482134,402.000000,0.341500,0.752870,12.886363,0.283684,0.625411,9.136363
"2001","8",44.000000,711.000000,13.789000,0.626742,0.441631,8.642159,314.000000,0.313386,0.690891,16.159090,0.196412,0.433011,7.136363
"2002","1",44.000000,719.000000,15.337000,0.688399,0.452471,10.557987,325.326996,0.348568,0.768453,16.340909,0.239954,0.529003,7.393795
"2002","2",44.000000,2495.000000,58.707000,0.780514,0.560320,45.821642,1398.000000,1.334250,2.941487,56.704545,1.041400,2.295872,31.772727
"2002","3",42.000000,1536.000000,28.099000,0.653099,0.303385,18.351432,466.000000,0.669023,1.474929,36.571428,0.436938,0.963275,11.095238
"2002","4",43.000000,2242.000000,29.898000,0.353595,0.153229,10.571786,343.540311,0.695302,1.532863,52.139534,0.245855,0.542013,7.989309
"2002","5",44.000000,661.000000,11.713000,0.568850,0.304084,6.662941,201.000000,0.266204,0.586874,15.022727,0.151430,0.333843,4.568181
"2002","7",44.000000,755.000000,18.134000,0.756552,0.471523,13.719329,356.000000,0.412136,0.908595,17.159090,0.311802,0.687400,8.090909
"2002","8",43.000000,386.000000,8.964000,0.726517,0.466321,6.512501,180.000000,0.208465,0.459582,8.976744,0.151453,0.333894,4.186046
"2003","1",44.000000,657.000000,12.212000,0.657167,0.477929,8.025326,314.000000,0.277545,0.611876,14.931818,0.182393,0.402105,7.136363
"1992","1",43.000000,742.000000,16.781000,0.964590,0.930320,16.186790,690.297551,0.390255,0.860357,17.255813,0.376436,0.829892,16.053431
"1992","2",44.000000,343.000000,11.432000,0.907424,0.801749,10.373676,275.000000,0.259818,0.572795,7.795454,0.235765,0.519768,6.250000
"1992","3",43.000000,600.000000,10.991000,0.602893,0.398333,6.626399,239.000000,0.255604,0.563506,13.953488,0.154102,0.339733,5.558139
"1992","4",44.000000,769.000000,14.380000,0.567793,0.377113,8.164876,290.000000,0.326818,0.720503,17.477272,0.185565,0.409097,6.590909
"1992","5",43.000000,822.000000,18.761000,0.763353,0.599756,14.321271,493.000000,0.436302,0.961872,19.116279,0.333052,0.734248,11.465116
"1992","6",44.000000,688.000000,12.528000,0.483751,0.343023,6.060443,236.000000,0.284727,0.627709,15.636363,0.137737,0.303655,5.363636
"1992","7",44.000000,631.000000,17.461000,0.910162,0.803486,15.892355,507.000000,0.396840,0.874875,14.340909,0.361189,0.796279,11.522727
"1992","8",44.000000,414.000000,10.628000,0.866134,0.729468,9.205275,302.000000,0.241545,0.532511,9.409090,0.209210,0.461226,6.863636
"1993","1",43.000000,379.000000,13.454000,0.963295,0.857519,12.960180,325.000000,0.312883,0.689783,8.813953,0.301399,0.664465,7.558139
"1997","4",42.000000,727.000000,10.918000,0.362511,0.192360,3.957900,139.845839,0.259952,0.573091,17.309523,0.094235,0.207752,3.329662
"1997","5",44.000000,461.000000,7.314000,0.438271,0.227765,3.205519,105.000000,0.166227,0.366464,10.477272,0.072852,0.160611,2.386363
"1997","6",42.000000,759.000000,8.810000,0.281892,0.134540,2.483475,102.116429,0.209761,0.462441,18.071428,0.059130,0.130358,2.431343
"1997","7",44.000000,161.000000,4.104000,0.724207,0.521739,2.972146,84.000000,0.093272,0.205629,3.659090,0.067548,0.148918,1.909090
"1997","8",43.000000,636.000000,10.652000,0.501682,0.282539,5.343921,179.695238,0.247720,0.546125,14.790697,0.124277,0.273981,4.178959
"1998","1",44.000000,190.000000,4.322000,0.808289,0.573684,3.493429,109.000000,0.098227,0.216551,4.318181,0.079396,0.175036,2.477272
"1998","2",44.000000,106.000000,2.724000,0.774718,0.575471,2.110334,61.000000,0.061909,0.136484,2.409090,0.047962,0.105737,1.386363
"1998","3",44.000000,576.000000,7.372000,0.373326,0.151041,2.752159,87.000000,0.167545,0.369370,13.090909,0.062549,0.137895,1.977272
"1998","4",44.000000,947.000000,12.650000,0.374933,0.190073,4.742911,180.000000,0.287500,0.633822,21.522727,0.107793,0.237641,4.090909
"1998","5",44.000000,194.000000,2.456000,0.295649,0.134020,0.726114,26.000000,0.055818,0.123056,4.409090,0.016502,0.036381,0.590909
"1998","7",44.000000,239.000000,5.167000,0.676266,0.451882,3.494267,108.000000,0.117431,0.258890,5.431818,0.079415,0.175078,2.454545
"1999","1",44.000000,239.000000,4.492000,0.610359,0.334728,2.741733,80.000000,0.102090,0.225069,5.431818,0.062312,0.137373,1.818181
"1999","2",43.000000,537.000000,11.394000,0.559073,0.383612,6.370083,206.000000,0.264976,0.584167,12.488372,0.148141,0.326592,4.790697
"1999","3",44.000000,1155.000000,18.004000,0.389079,0.174964,7.004991,202.083926,0.409181,0.902082,26.250000,0.159204,0.350981,4.592816
"1999","4",43.000000,815.000000,13.650000,0.420121,0.218404,5.734656,178.000000,0.317441,0.699832,18.953488,0.133364,0.294014,4.139534
"1999","5",44.000000,403.000000,5.400000,0.277122,0.126550,1.496459,51.000000,0.122727,0.270564,9.159090,0.034010,0.074979,1.159090
"1999","6",43.000000,370.000000,4.998000,0.275114,0.148541,1.375020,54.960212,0.116232,0.256246,8.604651,0.031977,0.070496,1.278144
"1999","7",44.000000,593.000000,12.382000,0.676086,0.451939,8.371303,268.000000,0.281409,0.620394,13.477272,0.190256,0.419440,6.090909
"1999","8",41.000000,273.000000,4.102000,0.368592,0.172161,1.511968,47.000000,0.100048,0.220567,6.658536,0.036877,0.081299,1.146341
"2000","1",44.000000,350.000000,7.914000,0.761599,0.594285,6.027296,208.000000,0.179863,0.396527,7.954545,0.136984,0.301994,4.727272
"2000","2",44.000000,1146.000000,18.285000,0.502876,0.286212,9.195105,328.000000,0.415568,0.916161,26.045454,0.208979,0.460716,7.454545
"2000","3",42.000000,893.000000,14.789000,0.605500,0.322508,8.954744,288.000000,0.352119,0.776281,21.261904,0.213208,0.470038,6.857142
"2000","4",44.000000,731.000000,12.551000,0.499983,0.318741,6.275291,233.000000,0.285250,0.628862,16.613636,0.142620,0.314420,5.295454
"2000","5",43.000000,620.000000,8.407000,0.362587,0.198387,3.048274,123.000000,0.195511,0.431024,14.418604,0.070890,0.156284,2.860465
"2000","6",44.000000,854.000000,12.944000,0.422223,0.233021,5.465264,199.000000,0.294181,0.648553,19.409090,0.124210,0.273834,4.522727
"2000","7",44.000000,1218.000000,25.651000,0.706766,0.514778,18.129274,627.000000,0.582977,1.285231,27.681818,0.412028,0.908359,14.250000
"1993","2",43.000000,422.000000,12.306000,0.771950,0.540284,9.499621,228.000000,0.286186,0.630925,9.813953,0.220921,0.487043,5.302325
"1993","3",44.000000,508.000000,9.438000,0.669756,0.338582,6.321161,172.000000,0.214500,0.472886,11.545454,0.143662,0.316718,3.909090
"1993","4",43.000000,521.000000,6.290000,0.314018,0.113680,1.975176,59.227360,0.146279,0.322486,12.116279,0.045934,0.101266,1.377380
"1993","5",44.000000,151.000000,4.250000,0.830148,0.609271,3.528129,92.000000,0.096590,0.212944,3.431818,0.080184,0.176775,2.090909
"1993","6",33.000000,94.000000,1.778000,0.473484,0.276595,0.841856,26.000000,0.053878,0.118781,2.848484,0.025510,0.056241,0.787878
"1993","7",43.000000,194.000000,4.186000,0.638343,0.314432,2.672103,61.000000,0.097348,0.214615,4.511627,0.062141,0.136998,1.418604
"1993","8",32.000000,165.000000,2.980000,0.554469,0.272727,1.652319,45.000000,0.093125,0.205303,5.156250,0.051634,0.113834,1.406250
"1994","1",44.000000,341.000000,7.934000,0.713657,0.542521,5.662155,185.000000,0.180318,0.397529,7.750000,0.128685,0.283699,4.204545
"1994","2",44.000000,503.000000,10.668000,0.580243,0.399602,6.190039,201.000000,0.242454,0.534515,11.431818,0.140682,0.310149,4.568181
"1994","3",44.000000,241.000000,4.780000,0.480990,0.298755,2.299132,72.000000,0.108636,0.239499,5.477272,0.052253,0.115196,1.636363
"1994","4",44.000000,788.000000,9.218000,0.227952,0.092617,2.101261,72.982550,0.209500,0.461863,17.909090,0.047755,0.105282,1.658694
"1994","5",44.000000,413.000000,5.122000,0.235717,0.094430,1.207346,39.000000,0.116409,0.256635,9.386363,0.027439,0.060493,0.886363
"1994","6",44.000000,298.000000,3.526000,0.236582,0.107382,0.834188,32.000000,0.080136,0.176668,6.772727,0.018958,0.041796,0.727272
"1994","7",43.000000,663.000000,9.402000,0.339641,0.168929,3.193305,112.000000,0.218651,0.482038,15.418604,0.074262,0.163720,2.604651
"1994","8",48.000000,872.000000,15.161000,0.552025,0.313280,8.369254,273.180476,0.315854,0.696332,18.166666,0.174359,0.384392,5.691259
"1995","1",44.000000,623.000000,13.340000,0.701126,0.500802,9.353023,312.000000,0.303181,0.668394,14.159090,0.212568,0.468628,7.090909
"1995","2",44.000000,377.000000,8.738000,0.678568,0.546419,5.929329,206.000000,0.198590,0.437813,8.568181,0.134757,0.297086,4.681818
"1995","3",44.000000,926.000000,15.074000,0.461235,0.240820,6.952656,223.000000,0.342590,0.755275,21.045454,0.158014,0.348359,5.068181
"1995","4",42.000000,775.000000,12.148000,0.403665,0.251612,4.903726,195.000000,0.289238,0.637654,18.452380,0.116755,0.257398,4.642857
"1995","5",44.000000,337.000000,5.080000,0.405903,0.240356,2.061990,81.000000,0.115454,0.254531,7.659090,0.046863,0.103315,1.840909
"1995","6",44.000000,380.000000,5.244000,0.288378,0.155263,1.512258,59.000000,0.119181,0.262748,8.636363,0.034369,0.075771,1.340909
"1995","7",44.000000,593.000000,13.724000,0.720781,0.531197,9.892006,315.000000,0.311909,0.687634,13.477272,0.224818,0.495634,7.159090
"1995","8",44.000000,1042.000000,20.202000,0.650783,0.458733,13.147131,478.000000,0.459136,1.012212,23.681818,0.298798,0.658731,10.863636
"1996","1",44.000000,531.000000,11.544000,0.000000,0.000000,0.000000,0.000000,0.262363,0.578406,12.068181,0.000000,0.000000,0.000000
"1996","2",44.000000,317.000000,6.720000,0.000000,0.000000,0.000000,0.000000,0.152727,0.336702,7.204545,0.000000,0.000000,0.000000
