"year","Area","N","n","var_all_kg","se_all_kg","var_tau_lrg_kg","se_lrg_kg"
1992,"1",43,43,0.14942657585825,0.0589494414550832,0.138966537930242,0.00866935253056485
1992,"2",131,131,0.0676976731650029,0.0227327105957595,0.100907780650997,0.00242488435533809
1992,"3",175,175,0.13035292499179,0.0272923772708781,0.320801120525212,0.00323653188295661
1993,"1",43,43,0.0877733909191584,0.0451801023602509,0.0815089075021929,0.00663948020594897
1993,"2",130,130,0.0577758428145498,0.0210814980518919,0.0772496488204329,0.002137986234124
1993,"3",152,152,0.0154509806552806,0.0100822214080818,0.0271822056305876,0.00108467282297606
1994,"1",44,44,0.0420399894291755,0.030910423892411,0.0215464078991965,0.0033360669842104
1994,"2",132,132,0.0413193400416378,0.0176925211133332,0.0237744179365662,0.00116810266643588
1994,"3",179,179,0.0819662163705982,0.0213988743465499,0.0717379665975904,0.00149630973087075
1995,"1",44,44,0.0736465708245243,0.0409119261408867,0.0365909548644078,0.00434744598626785
1995,"2",130,130,0.0576729206917114,0.0210627123484774,0.0368248992826871,0.00147613960154042
1995,"3",176,176,0.0970169650649351,0.0234783465357075,0.128762894137992,0.00203883789462278
1996,"1",44,44,0.103381073995772,0.0484723618522996,0,0
1996,"2",131,131,0.0872651011156782,0.0258098006587293,0,0
1996,"3",175,175,0.0595299475862069,0.0184437287191077,0,0
1997,"1",44,44,0.102038873150106,0.0481566744996583,0.0811518415261879,0.00647435506561024
1997,"2",128,128,0.0505542746062992,0.0198734815863178,0.0309273859053635,0.00137392060583496
1997,"3",173,173,0.064590100282296,0.0193223492573372,0.0513444488909433,0.0013097869083029
1998,"1",44,44,0.024743156448203,0.0237138032532086,0.0162820618279701,0.00290002687968182
1998,"2",132,132,0.0502271040943789,0.0195066236020321,0.0201506959349907,0.00107540262856873
1998,"3",88,88,0.0114392945402299,0.0114014026949189,0.00751724695490608,0.000985250665216296
1999,"1",44,44,0.0428057589852008,0.0311906742273162,0.0162068564009016,0.00289332164206344
1999,"2",130,130,0.120608430292188,0.0304591062917768,0.0496634063845018,0.00171425292756777
1999,"3",172,172,0.0451217161702706,0.016196776195573,0.0428701523507013,0.0012037853856433
2000,"1",44,44,0.0275106321353066,0.025004832321749,0.016045652746145,0.00287889627701923
2000,"2",130,130,0.13462816129994,0.0321807588594298,0.122641354298196,0.00269386058839647
2000,"3",175,175,0.157960419244663,0.0300438174523871,0.189161774282636,0.00248529897537179
2001,"1",44,44,0.173656422832981,0.0628230601178242,0.131266545067999,0.00823425573405398
2001,"2",131,131,0.24822341867293,0.0435297054555308,0.273383918986301,0.00399130748721624
2001,"3",176,176,0.123617461688312,0.0265023006814665,0.157774946840533,0.00225686901177919
2002,"1",44,44,0.115830344080338,0.0513079703360763,0.0306157502623995,0.00397667204960157
2002,"2",129,129,0.485928781007752,0.0613749930774244,0.47658204700929,0.00535154434925259
2002,"3",131,131,0.0984153665296535,0.0274091652539989,0.138971906424506,0.00284572030017611
2003,"1",44,44,0.11495355602537,0.0511134113394754,0.0498885539798161,0.00507630586035963
2003,"2",132,132,0.618672283830673,0.0684610198663551,0.762299735672434,0.00661437713089337
2003,"3",176,176,0.159326465974026,0.030087605607892,0.28115793776828,0.00301274591864442
2004,"1",44,44,0.735079773255814,0.129253079201568,0.334946645851034,0.0131533125531708
2004,"2",132,132,0.534359154522323,0.0636252733828932,0.242765380847907,0.0037326687108862
2004,"3",176,176,0.13623218961039,0.0278216917508122,0.160964092056226,0.00227956423375684
2005,"1",44,44,0.305497720930233,0.0833254464202962,0.16796771676037,0.00931451470969102
2005,"2",132,132,0.526045748033773,0.0631284013805349,0.139595636955679,0.00283049238704218
2005,"3",173,173,0.246976316574808,0.0377837103303576,0.156360970853384,0.00228569393564896
2006,"1",42,4,0.381606784321001,0.0953198605599415,1.31297773071461,0.0272822000844541
2006,"2",132,12,0.53156462619952,0.0634586853309754,23.1715474478789,0.0364672981484049
2006,"3",172,16,0.359050927785335,0.0456892262366171,47.5615550362781,0.0400958639645945
2007,"1",43,4,0.575509649314942,0.115689002644615,25.1038996166038,0.116520446253585
2007,"2",131,12,1.14978188128971,0.0936854360393099,74.9429416643925,0.0660836576069683
2007,"3",175,16,0.529232007989006,0.0549925713419032,28.723514405398,0.0306253273364053
2008,"1",44,4,0.713976635090571,0.127384228641555,4.84922197111343,0.0500476114797831
2008,"2",132,12,1.12175686364793,0.0921854546983355,37.5496434436028,0.0464225483829812
2008,"3",172,16,1.14592597671945,0.0816232830126566,8.34599061738814,0.0167961791862061
2009,"1",87,8,1.34931606416261,0.124536661460977,31.1885868922802,0.0641916584716773
2009,"2",132,12,0.9352977561627,0.0841759411105016,84.3662180330612,0.0695841552520127
2009,"3",132,12,0.594756252837877,0.0671247285891402,8.41645181565039,0.0219781224905056
2010,"1",88,8,0.537613661980182,0.0781616668122277,26.603572960649,0.0586121040379308
2010,"2",130,12,0.467622389210506,0.0599757892955089,8.67795665688583,0.0226602859553679
2010,"3",132,12,0.241918061272214,0.0428101925409775,1.65283970869967,0.00973960710453535
2011,"1",87,8,2.28117418250399,0.16192712219497,86.333357230025,0.106799707231161
2011,"2",131,12,0.884245152792691,0.0821581584410063,10.0507382828502,0.0242006865398258
2011,"3",132,12,0.162656969671439,0.0351034153642943,4.12784801543576,0.0153917470690374
2012,"1",132,12,1.98912842796917,0.122756485601952,5.60365657185233,0.0179333665074086
2012,"2",129,16,0.505491864397522,0.0625982554427591,20.7700351886688,0.0353288016018513
2012,"3",131,26,0.314131967031445,0.0489689079601018,11.3515128866627,0.0257190887802916
2013,"1",130,12,0.907452248414111,0.0835487995777185,8.15707327862368,0.0219696849751362
2013,"2",131,12,0.673988149427615,0.071728290831124,14.030970656643,0.0285938452559015
2013,"3",131,12,0.417106673697754,0.0564271247708628,5.20210102318135,0.0174107746830653
2014,"1",131,12,0.871910405167352,0.0815831147946565,10.5043539616433,0.0247407794690052
2014,"2",131,12,0.702093752201997,0.0732085670643695,54.914952428271,0.0565684149820707
2014,"3",131,12,0.282970881972989,0.0464766938206247,3.70727156826654,0.0146979208593178
2015,"1",132,12,0.650197362942401,0.0701835992098474,24.5800559228029,0.0375593010783996
2015,"2",131,12,0.40153349383441,0.0553637171287159,26.6233915222594,0.0393876793571081
2015,"3",132,12,0.0776273883876937,0.0242504902149286,1.12178917546724,0.00802382949287139
2016,"1",120,24,1.96951482240896,0.128111761833466,24.800097788689,0.0414997471450538
2016,"2",119,24,1.17810216493377,0.0994988351324816,55.8506824421041,0.062801104329799
2016,"3",120,24,0.475713697478992,0.0629625349896661,9.55057786217209,0.02575334102135
2017,"1",120,24,1.96241663165266,0.127880694127139,78.3646432213841,0.0737698387730115
2017,"2",119,24,2.32960472867113,0.139916083153323,192.200341794342,0.116501124264836
2017,"3",120,23,0.973421400560224,0.0900657815414297,36.81356273537,0.0505618177301655
2018,"1",132,12,1.41794371385612,0.103643609702882,198.869433129252,0.106834146971877
2018,"2",132,12,0.799585850265331,0.0778297408618077,123.606453628297,0.0842260903707676
2018,"3",128,12,0.903379429133858,0.0840098315086292,120.581491884217,0.0857887533305578
