"year","N","n","var_all_kg","se_all_kg","var_tau_lrg_kg","se_lrg_kg"
1992,349,349,0.109858151615453,0.0177420349468639,0.560704373092515,0.00214556435107763
1993,325,324,0.0483719978727445,0.0121998736276865,0.23105544264528,0.00147902236267895
1994,355,353,0.0616157115779422,0.0131744216088069,0.295096841383492,0.00153022018863209
1995,350,350,0.0793607146950471,0.0150580509737717,0.202191123390783,0.0012847333508483
1996,350,NA,0.0750677528939828,0.0146451116070451,NA,NA
1997,345,342,0.0639782320188743,0.0136177880281397,0.296966000455175,0.00157955324431603
1998,264,264,0.0345428655231017,0.0114387144202269,0.0439538760748307,0.000794135595505503
1999,346,332,0.0812237189578621,0.0153215740975329,3.97758819573094,0.0057641305739987
2000,349,349,0.135175093798373,0.0196804772723806,0.327846651722157,0.00164062735823968
2001,351,350,0.186517357574278,0.0230518650680937,0.675366161999733,0.00234132947333935
2002,304,298,0.351079069133229,0.033983310006397,1.06837385244751,0.0034000714352619
2003,352,352,0.372365380698006,0.0325247013078489,1.09333406726825,0.00297052886471214
2004,352,352,0.496085218717625,0.0375410842640503,0.738701796422994,0.00244169781242162
2005,349,349,0.407074682524783,0.0341526441405378,0.463906784446683,0.0019515960705678
2006,346,32,0.496295014451817,0.0378731917652186,1767.83447721918,0.121519143809932
2007,349,32,0.937913593757055,0.051840442713547,5908.53903447284,0.220249346021302
2008,348,32,1.17449588036769,0.0580946483075345,8436.80864455236,0.263942821881846
2009,351,32,0.949956640422422,0.0520233522083367,3190.48716640203,0.160924209539509
2010,350,32,0.444519732872177,0.0356378503789832,743.471950635056,0.0779048058895876
2011,350,30,1.24412116239855,0.059620733747307,1094.96016893272,0.0945433781850131
2012,392,50,1.05554679388719,0.0518914387252612,585.537816853648,0.0617293078721117
2013,392,36,0.712400156450996,0.0426303569992698,2263.42804823173,0.121366067352926
2014,393,36,0.716346739419432,0.0426938548300924,2019.14075266322,0.114338040942961
2015,395,36,0.520793321339073,0.0363106610330338,2437.78462473977,0.124997282450569
2016,359,72,1.43219344740978,0.0631616718385627,1031.55349568625,0.0894646421182966
