"year","N","n","var_all_kg","se_all_kg","var_tau_lrg_kg","se_lrg_kg"
1992,305,NA,0.110955477070751,0.0190732390907338,NA,NA
1993,292,NA,0.0517127241914984,0.0133078311726152,NA,NA
1994,306,NA,0.0457974749491053,0.0122337627414492,NA,NA
1995,306,NA,0.0856723031393978,0.016732448920011,NA,NA
1996,306,46,0.0784372677167042,0.0160103385426626,0,0
1997,303,NA,0.0646391567766048,0.0146058395998942,NA,NA
1998,264,264,0.0345428655231017,0.0114387144202269,0.0439538760748307,0.000794135595505503
1999,302,NA,0.088201015115179,0.017089655977842,NA,NA
2000,305,NA,0.140965873554789,0.0214984462690426,NA,NA
2001,307,NA,0.189135723020587,0.024820903965865,NA,NA
2002,304,298,0.351079069133229,0.033983310006397,0.71067427242256,0.00277307562316187
2003,306,NA,0.406561618900675,0.0364504148331055,NA,NA
2004,308,NA,0.537263162602056,0.0417655470159214,NA,NA
2005,306,NA,0.434211966109504,0.0376695281799365,NA,NA
2006,304,NA,0.514950053407193,0.0411571943816117,NA,NA
2007,306,NA,0.935201167011959,0.0552830260033889,NA,NA
2008,307,NA,1.1878063611002,0.0622018978391249,NA,NA
2009,308,NA,0.970726895078058,0.0561400988448131,NA,NA
2010,306,NA,0.47987015316489,0.0396005443765353,NA,NA
2011,306,NA,1.36999971281737,0.0669113087938146,NA,NA
2012,304,NA,1.20076893329936,0.0628482124400192,NA,NA
2013,305,NA,0.749813305133224,0.0495822980419961,NA,NA
2014,306,NA,0.786302679095682,0.0506913858397253,NA,NA
2015,307,NA,0.547556313470013,0.0422323460590132,NA,NA
2016,140,NA,1.49575416238438,0.103363234773035,NA,NA
2017,139,NA,2.33597491398186,0.129636317907957,NA,NA
